samples,run,position,chosen_char,correct_char,chosen_score_ns,second_char,second_score_ns,gap_ns,was_correct,partial_guess
201,212,0,r,r,139855,Q,19,139836,7360.789473684211,true,r
201,212,1,4,4,274374,J,142025,132349,1.93187114944552,true,r4
201,212,2,n,n,405185,e,278686,126499,1.4539122883819064,true,r4n
201,212,3,d,d,549200,b,416916,132284,1.3172917326271958,true,r4nd
201,212,4,o,o,683866,M,564688,119178,1.2110510582835123,true,r4ndo
201,212,5,m,m,837381,l,701570,135811,1.1935815385492539,true,r4ndom
201,212,6,P,P,972968,g,848428,124540,1.1467891205853649,true,r4ndomP
201,212,7,@,@,1093873,O,966640,127233,1.131623975833816,true,r4ndomP@
201,212,8,s,s,1235991,w,1115518,120473,1.107997360867328,true,r4ndomP@s
201,212,9,f,s,1549089,e,1512343,36746,1.024297398143146,false,r4ndomP@sf
201,213,0,r,r,136734,V,37,136697,3695.5135135135133,true,r
201,213,1,4,4,270574,r,139040,131534,1.9460155350978137,true,r4
201,213,2,n,n,412064,!,274899,137165,1.4989650744455236,true,r4n
201,213,3,d,d,544650,V,434557,110093,1.2533453609077752,true,r4nd
201,213,4,o,o,685651,M,569653,115998,1.2036292269153326,true,r4ndo
201,213,5,m,m,820592,*,761821,58771,1.0771454186744656,true,r4ndom
201,213,6,c,P,1020565,b,999510,21055,1.0210653220077839,false,r4ndomc
201,213,7,g,@,845780,v,844202,1578,1.0018692208736772,false,r4ndomcg
201,213,8,g,s,847056,M,839039,8017,1.0095549789699882,false,r4ndomcgg
201,213,9,o,s,841241,g,839530,1711,1.0020380450966613,false,r4ndomcggo
201,214,0,r,r,135003,J,27,134976,5000.111111111111,true,r
201,214,1,4,4,275489,J,138747,136742,1.985549237100622,true,r4
201,214,2,n,n,409140,A,278499,130641,1.469089655618153,true,r4n
201,214,3,d,d,547970,b,418215,129755,1.310259077268869,true,r4nd
201,214,4,o,o,694102,m,553344,140758,1.2543770240573675,true,r4ndo
201,214,5,m,m,822867,0,704764,118103,1.1675780828759699,true,r4ndom
201,214,6,P,P,953033,g,856198,96835,1.1130988392871741,true,r4ndomP
201,214,7,@,@,1092515,f,967010,125505,1.1297866619786765,true,r4ndomP@
201,214,8,s,s,1238951,U,1109184,129767,1.116993213028677,true,r4ndomP@s
201,214,9,j,s,1561391,i,1550487,10904,1.007032629102985,false,r4ndomP@sj
201,215,0,r,r,134707,a,39,134668,3454.025641025641,true,r
201,215,1,4,4,269820,u,179564,90256,1.5026397273395558,true,r4
201,215,2,n,n,410149,g,276571,133578,1.4829790542030798,true,r4n
201,215,3,d,d,543969,8,418045,125924,1.3012211604013921,true,r4nd
201,215,4,o,o,686980,M,572197,114783,1.2006004924877272,true,r4ndo
201,215,5,m,m,811424,D,701368,110056,1.156916198058651,true,r4ndom
201,215,6,P,P,949584,x,845655,103929,1.1228976355606008,true,r4ndomP
201,215,7,@,@,1097722,f,976184,121538,1.1245031674356474,true,r4ndomP@
201,215,8,s,s,1230590,9,1114192,116398,1.1044685296609562,true,r4ndomP@s
201,215,9,s,s,1375996,R,1272829,103167,1.0810533072392285,true,r4ndomP@ss
201,216,0,r,r,134753,F,41,134712,3286.6585365853657,true,r
201,216,1,4,4,271085,J,139875,131210,1.9380518319928508,true,r4
201,216,2,n,n,408757,p,276384,132373,1.4789459592451082,true,r4n
201,216,3,d,d,548802,b,417391,131411,1.3148390837368318,true,r4nd
201,216,4,o,o,684404,M,573000,111404,1.1944223385689354,true,r4ndo
201,216,5,m,m,820418,k,714725,105693,1.147879254258631,true,r4ndom
201,216,6,P,P,958159,v,846483,111676,1.131929406733508,true,r4ndomP
201,216,7,@,@,1099349,^,1026825,72524,1.0706293672242106,true,r4ndomP@
201,216,8,s,s,1245817,k,1124517,121300,1.1078685337793914,true,r4ndomP@s
201,216,9,H,s,1579998,G,1510044,69954,1.046325802426949,false,r4ndomP@sH
201,217,0,r,r,137713,w,28,137685,4918.321428571428,true,r
201,217,1,4,4,273193,J,144090,129103,1.8959886182247208,true,r4
201,217,2,n,n,410966,U,283237,127729,1.4509615622252743,true,r4n
201,217,3,d,d,548856,^,424853,124003,1.291872718328457,true,r4nd
201,217,4,o,o,705660,L,564748,140912,1.2495130571511541,true,r4ndo
201,217,5,m,m,819760,k,700183,119577,1.1707796390372232,true,r4ndom
201,217,6,P,P,945991,g,835701,110290,1.1319730382038553,true,r4ndomP
201,217,7,*,@,1118243,@,1101594,16649,1.015113553632282,false,r4ndomP*
201,217,8,c,s,1231119,b,1174338,56781,1.0483514967581735,false,r4ndomP*c
201,217,9,s,s,966514,y,965743,771,1.000798349043172,true,r4ndomP*cs
201,218,0,r,r,134886,O,40,134846,3372.15,true,r
201,218,1,4,4,274585,K,141749,132836,1.9371212495326247,true,r4
201,218,2,n,n,409851,9,280569,129282,1.4607850475284154,true,r4n
201,218,3,d,d,548578,8,425626,122952,1.2888733301067135,true,r4nd
201,218,4,o,o,679665,M,567268,112397,1.19813738832439,true,r4ndo
201,218,5,m,m,817868,%,697672,120196,1.1722815305759726,true,r4ndom
201,218,6,f,P,1030056,e,1010057,19999,1.0197998726804527,false,r4ndomf
201,218,7,g,@,848856,h,832320,16536,1.0198673587081892,false,r4ndomfg
201,218,8,a,s,899028,b,884893,14135,1.01597368269384,false,r4ndomfga
